"","datetime","Vancouver","Phoenix","Miami","New York"
"1",2012-10-01 12:00:00,NA,NA,NA,NA
"2",2012-10-01 13:00:00,284.63,296.6,299.72,288.22
"3",2012-10-01 14:00:00,284.62904131,296.608508543,299.732517698,288.24767617
"4",2012-10-01 15:00:00,284.626997923,296.631487354,299.76657946,288.326939663
"5",2012-10-01 16:00:00,284.624954535,296.654466164,299.800641223,288.406203155
"6",2012-10-01 17:00:00,284.622911147,296.677444975,299.834702986,288.485466648
"7",2012-10-01 18:00:00,284.620867759,296.700423786,299.868764748,288.564730141
"8",2012-10-01 19:00:00,284.618824371,296.723402597,299.902826511,288.643993634
"9",2012-10-01 20:00:00,284.616780983,296.746381407,299.936888273,288.723257127
"10",2012-10-01 21:00:00,284.614737595,296.769360218,299.970950036,288.80252062
"11",2012-10-01 22:00:00,284.612694207,296.792339029,300.005011799,288.881784113
"12",2012-10-01 23:00:00,284.610650819,296.815317839,300.039073561,288.961047606
"13",2012-10-02 00:00:00,284.608607431,296.83829665,300.073135324,289.040311099
"14",2012-10-02 01:00:00,284.606564043,296.861275461,300.107197086,289.119574592
"15",2012-10-02 02:00:00,284.604520655,296.884254271,300.141258849,289.198838085
"16",2012-10-02 03:00:00,284.602477267,296.907233082,300.175320611,289.278101578
"17",2012-10-02 04:00:00,284.600433879,296.930211893,300.209382374,289.357365071
"18",2012-10-02 05:00:00,284.598390491,296.953190704,300.243444137,289.436628564
"19",2012-10-02 06:00:00,284.596347103,296.976169514,300.277505899,289.515892057
"20",2012-10-02 07:00:00,284.594303716,296.999148325,300.311567662,289.595155549
"21",2012-10-02 08:00:00,284.592260328,297.022127136,300.345629424,289.674419042
"22",2012-10-02 09:00:00,284.59021694,297.045105946,300.379691187,289.753682535
"23",2012-10-02 10:00:00,284.588173552,297.068084757,300.41375295,289.832946028
"24",2012-10-02 11:00:00,284.586130164,297.091063568,300.447814712,289.912209521
"25",2012-10-02 12:00:00,284.584086776,297.114042379,300.481876475,289.991473014
"26",2012-10-02 13:00:00,284.582043388,297.137021189,300.515938237,290.070736507
"27",2012-10-02 14:00:00,284.58,297.16,300.55,290.15
"28",2012-10-02 15:00:00,284.85,300.76,300.72,291.32
"29",2012-10-02 16:00:00,286.26,303.48,300.91,291.78
"30",2012-10-02 17:00:00,286.77,306.32,300.69,292.74
"31",2012-10-02 18:00:00,288.95,308.77,299.85,293.82
"32",2012-10-02 19:00:00,289.51,309.24,299.34,294.08
"33",2012-10-02 20:00:00,289.67,310.7,299.31,294.72
"34",2012-10-02 21:00:00,290.29,311.54,299.72,294.85
"35",2012-10-02 22:00:00,291.09,311.28,299.29,293.2
"36",2012-10-02 23:00:00,291.18,312.01,299.15,290.98
"37",2012-10-03 00:00:00,291.26,311.47,298.66,289.84
"38",2012-10-03 01:00:00,290.62,308.97,298.27,288.99
"39",2012-10-03 02:00:00,288.11,306.11,298.08,288.8
"40",2012-10-03 03:00:00,287.21,304.29,297.88,288.6
"41",2012-10-03 04:00:00,286.6,302.52,297.92,288.54
"42",2012-10-03 05:00:00,285.96,301.27,297.76,288.6
"43",2012-10-03 06:00:00,285.63,300.17,297.76,288.85
"44",2012-10-03 07:00:00,284.71,298.52,297.5,289.05
"45",2012-10-03 08:00:00,284.78,298.24,297.56,289.17
"46",2012-10-03 09:00:00,284.24,297.21,297.1,289.36
"47",2012-10-03 10:00:00,284.17,296.13,297.43,289.5
"48",2012-10-03 11:00:00,283.25,295.67,297.69,289.56
"49",2012-10-03 12:00:00,283.29,293.35,298.08,290.37
"50",2012-10-03 13:00:00,283.35,294.11,298.99,291.18
"51",2012-10-03 14:00:00,282.53,295.13,299.99,292.88
"52",2012-10-03 15:00:00,282.83,298.64,300.933333333,292.263333333
"53",2012-10-03 16:00:00,283.13,302.15,301.876666667,291.646666667
"54",2012-10-03 17:00:00,283.43,305.66,302.82,291.03
"55",2012-10-03 18:00:00,283.92,306.95,302.44,290.7
"56",2012-10-03 19:00:00,285.06,308.79,300.65,290.75
"57",2012-10-03 20:00:00,286.23,309.8,300.88,290.62
"58",2012-10-03 21:00:00,286.73,311.03,301.47,290.62
"59",2012-10-03 22:00:00,287.455,311.22,300.535,290.425
"60",2012-10-03 23:00:00,288.18,311.41,299.6,290.23
"61",2012-10-04 00:00:00,288.24,311.4,296.99,290.3
"62",2012-10-04 01:00:00,286.5,308.64,297.31,290.44
"63",2012-10-04 02:00:00,285.39,306.04,297.46,290.19
"64",2012-10-04 03:00:00,284.26,303.48,297.88,290.12
"65",2012-10-04 04:00:00,283.46,302.46,298.16,290.13
"66",2012-10-04 05:00:00,283.74,300.13,298.35,290.19
"67",2012-10-04 06:00:00,282.71,298.9,298.57,290.24
"68",2012-10-04 07:00:00,282.44,298.38,298.51,290.13
"69",2012-10-04 08:00:00,281.56,297.51,298.1,290.19
"70",2012-10-04 09:00:00,281.42,296.84,297.96,290.31
"71",2012-10-04 10:00:00,281.3,295.68,298.1,290.43
"72",2012-10-04 11:00:00,280.97,295.04,298.28,290.63
"73",2012-10-04 12:00:00,280.92,294.22,298.99,290.84
"74",2012-10-04 13:00:00,280.91,293.93,300.66,291.25
"75",2012-10-04 14:00:00,280.04,294.64,302.25,292.58
"76",2012-10-04 15:00:00,280.15,297.71,303.1,292.58
"77",2012-10-04 16:00:00,282.78,300.54,303.95,293.71
"78",2012-10-04 17:00:00,284.38,304.17,303.97,294.72
"79",2012-10-04 18:00:00,286.8,306.07,304.05,295.27
"80",2012-10-04 19:00:00,288.56,307.97,304.02,295.18
"81",2012-10-04 20:00:00,289.26,308.92,304.14,294.98
"82",2012-10-04 21:00:00,289.36,310.04,303.84,294.72
"83",2012-10-04 22:00:00,290.15,310.49,303.23,294.38
"84",2012-10-04 23:00:00,289.66,310.39,301.67,294.18
"85",2012-10-05 00:00:00,288.87,309.89,301.17,294.02
"86",2012-10-05 01:00:00,287.18,308.06,300.92,293.85
"87",2012-10-05 02:00:00,285.06,304.85,301.17,293.49
"88",2012-10-05 03:00:00,283.93,303.58,301.23,293.38
"89",2012-10-05 04:00:00,283.34,301.68,301.04,293.44
"90",2012-10-05 05:00:00,282.68,300.05,300.59,293.34
"91",2012-10-05 06:00:00,281.81,299.07,300.42,292.86
"92",2012-10-05 07:00:00,281.23,297.87,300.41,292.22
"93",2012-10-05 08:00:00,280.65,296.67,300.4,291.58
"94",2012-10-05 09:00:00,280.325,296.72,300.23,291.925
"95",2012-10-05 10:00:00,280,296.77,300.06,292.27
"96",2012-10-05 11:00:00,279.86,295.93,299.9,292.34
"97",2012-10-05 12:00:00,279.54,294.83,300.71,293.18
"98",2012-10-05 13:00:00,278.57,294.57,301.95,293.95
"99",2012-10-05 14:00:00,278.51,295.52,302.74,294.22
"100",2012-10-05 15:00:00,278.91,298.09,303.34,295.37
"101",2012-10-05 16:00:00,281.86,301.07,303.71,295.73
"102",2012-10-05 17:00:00,282.78,303.78,303.77,295.77
"103",2012-10-05 18:00:00,287.56,305.01,304.29,295.9
"104",2012-10-05 19:00:00,288.12,306.4,303.98,296.07
"105",2012-10-05 20:00:00,289.1,307.48,303.91,295.87
"106",2012-10-05 21:00:00,289.53,308.54,303.58,296.27
"107",2012-10-05 22:00:00,290.09,308.47,303.21,295.32
"108",2012-10-05 23:00:00,290.67,308.57,301.99,294.68
"109",2012-10-06 00:00:00,290.41,307.46,301.61,293.27
"110",2012-10-06 01:00:00,288.83,305.79,301.35,293.03
"111",2012-10-06 02:00:00,286.9,303.74,301.35,292.85
"112",2012-10-06 03:00:00,285.3,301.16,301.04,291.46
"113",2012-10-06 04:00:00,284.4,298.96,300.78,290.94
"114",2012-10-06 05:00:00,283.59,298.13,300.65,290.08
"115",2012-10-06 06:00:00,282.59,296.66,300.65,289.27
"116",2012-10-06 07:00:00,282.29,296.16,300.65,289.28
"117",2012-10-06 08:00:00,281.45,295.19,300.39,288.66
"118",2012-10-06 09:00:00,280.61,294.22,300.13,288.04
"119",2012-10-06 10:00:00,281.03,293.64,300.07,287.78
"120",2012-10-06 11:00:00,280.97,292.41,300.34,287.87
"121",2012-10-06 12:00:00,280.64,291.9,300.53,288.24
"122",2012-10-06 13:00:00,280.18,291.81,300.65,289.58
"123",2012-10-06 14:00:00,279.64,293.66,301.93,291.84
"124",2012-10-06 15:00:00,279.54,297.13,303.12,294.5
"125",2012-10-06 16:00:00,281.37,299.92,303.59,296.4
"126",2012-10-06 17:00:00,284.48,302.22,303.79,297.95
"127",2012-10-06 18:00:00,287.38,303.93,303.59,299.05
"128",2012-10-06 19:00:00,289.94,305.62,303.84,299.48
"129",2012-10-06 20:00:00,290.24,305.99,303.54,299.78
"130",2012-10-06 21:00:00,290.61,306.22,303.27,299.18
"131",2012-10-06 22:00:00,291.65,306.71,302.18,297.04
"132",2012-10-06 23:00:00,291.78,306.82,301.3,295.32
"133",2012-10-07 00:00:00,290.94,306.09,301.1,293.4
"134",2012-10-07 01:00:00,289.96,304.14,301.11,292.42
"135",2012-10-07 02:00:00,287.37,301.97,301.03,291.85
"136",2012-10-07 03:00:00,286.74,300.02,300.97,291.27
"137",2012-10-07 04:00:00,284.45,298.49,300.4,290.76
"138",2012-10-07 05:00:00,284.12,298.03,300.34,290.37
"139",2012-10-07 06:00:00,283.71,297.036666667,300.11,289.766666667
"140",2012-10-07 07:00:00,283.3,296.043333333,299.88,289.163333333
"141",2012-10-07 08:00:00,282.89,295.05,299.65,288.56
"142",2012-10-07 09:00:00,282.49,294.78,299.38,288.68
"143",2012-10-07 10:00:00,281.61,294.09,299.2,288.72
"144",2012-10-07 11:00:00,282.07,293.96,299.2,288.06
"145",2012-10-07 12:00:00,281.16,293.64,299.92,289.64
"146",2012-10-07 13:00:00,280.46,292.51,301.97,291.49
"147",2012-10-07 14:00:00,280.29,292.86,302.84,294.03
"148",2012-10-07 15:00:00,280.76,296.38,303.03,296.37
"149",2012-10-07 16:00:00,283.47,298.18,303.47,297.47
"150",2012-10-07 17:00:00,285.62,301.04,303.53,297.84
"151",2012-10-07 18:00:00,286.44,302.96,302.94,297.4
"152",2012-10-07 19:00:00,288.93,304.07,301.73,296.29
"153",2012-10-07 20:00:00,290.04,305.09,301.68,294.43
"154",2012-10-07 21:00:00,291.3,305.02,301.74,292.87
"155",2012-10-07 22:00:00,293.09,305.54,301.37,289.78
"156",2012-10-07 23:00:00,293.09,304.97,301.23,288.01
"157",2012-10-08 00:00:00,291.2,304.46,300.84,286.81
"158",2012-10-08 01:00:00,289.65,303.31,300.46,286.06
"159",2012-10-08 02:00:00,287.12,301.92,300.16,285.21
"160",2012-10-08 03:00:00,286.42,300.67,299.75,284.7
"161",2012-10-08 04:00:00,285.37,299.16,299.26,284.24
"162",2012-10-08 05:00:00,284.99,297.67,298.15,283.93
"163",2012-10-08 06:00:00,284.2,296.84,297.77,283.03
"164",2012-10-08 07:00:00,283.72,295.74,297.83,282.41
"165",2012-10-08 08:00:00,283.58,295.59,298.09,281.68
"166",2012-10-08 09:00:00,283.2,295.33,298.04,280.9
"167",2012-10-08 10:00:00,282.87,294.01,297.66,279.64
"168",2012-10-08 11:00:00,282.49,294.09,297.6,281.27
"169",2012-10-08 12:00:00,282.21,294.06,297.91,282.87
"170",2012-10-08 13:00:00,282.14,293.06,299.17,283.67
"171",2012-10-08 14:00:00,280.88,293.83,300.59,283.8
"172",2012-10-08 15:00:00,280.71,296.01,300.92,284.31
"173",2012-10-08 16:00:00,284.02,299.27,301.6,284.06
"174",2012-10-08 17:00:00,285.34,301.07,301.3,283.98
"175",2012-10-08 18:00:00,289.06,304.02,299.96,284.2
"176",2012-10-08 19:00:00,289.74,304.36,299.96,284.74
"177",2012-10-08 20:00:00,289.69,305.62,300.77,284.59
"178",2012-10-08 21:00:00,290.41,306.05,301.36,284.12
"179",2012-10-08 22:00:00,291.43,306.32,300.11,283.69
"180",2012-10-08 23:00:00,292.2,306.31,300.08,283.62
"181",2012-10-09 00:00:00,291.34,305.92,299.77,283.01
"182",2012-10-09 01:00:00,289.68,304.36,299.33,282.64
"183",2012-10-09 02:00:00,287.4,302.4,299.51,282.24
"184",2012-10-09 03:00:00,286.39,300.66,299.44,282.19
"185",2012-10-09 04:00:00,285.49,298.48,299.45,281.25
"186",2012-10-09 05:00:00,285.25,297.92,299.25,280.46
"187",2012-10-09 06:00:00,284.79,297.07,298.66,279.7
"188",2012-10-09 07:00:00,283.79,295.94,298.53,279.57
"189",2012-10-09 08:00:00,283.265,294.865,298.63,279.055
"190",2012-10-09 09:00:00,282.74,293.79,298.73,278.54
"191",2012-10-09 10:00:00,282.62,292.74,298.78,278.02
"192",2012-10-09 11:00:00,282.27,292.5,298.46,278.35
"193",2012-10-09 12:00:00,282.2,291.82,297.3,280.4
"194",2012-10-09 13:00:00,281.55,292.03,297.23,282.85
"195",2012-10-09 14:00:00,281.29,292.41,297.78,283.53
"196",2012-10-09 15:00:00,281.08,295.48,298.23,284.9
"197",2012-10-09 16:00:00,282.63,298.84,299.23,285.34
"198",2012-10-09 17:00:00,285.65,299.76,299.37,285.72
"199",2012-10-09 18:00:00,287.92,302.16,300.9,285.63
"200",2012-10-09 19:00:00,289.75,304.15,302.7,285.78
"201",2012-10-09 20:00:00,291.38,305.12,302.76,285.63
"202",2012-10-09 21:00:00,291.1,305.64,303.09,285.4
"203",2012-10-09 22:00:00,291.73,306.07,301.54,284.54
"204",2012-10-09 23:00:00,291.67,306.49,300.9,283.97
"205",2012-10-10 00:00:00,291.94,305.97,300.34,283.71
"206",2012-10-10 01:00:00,290.11,304.33,300.46,283.26
"207",2012-10-10 02:00:00,287.51,302.14,300.27,283.19
"208",2012-10-10 03:00:00,286.33,300.14,300.27,283.07
"209",2012-10-10 04:00:00,285.48,299.03,299.82,283.06
"210",2012-10-10 05:00:00,284.52,297.56,299.24,282.94
"211",2012-10-10 06:00:00,284.09,296.45,298.93,282.87
"212",2012-10-10 07:00:00,283.85,295.84,298.68,283.38
"213",2012-10-10 08:00:00,283.71,294.8,298.6,283.52
"214",2012-10-10 09:00:00,283.2,294.33,298.636666667,283.673333333
"215",2012-10-10 10:00:00,282.69,293.86,298.673333333,283.826666667
"216",2012-10-10 11:00:00,282.18,293.39,298.71,283.98
"217",2012-10-10 12:00:00,282.01,293.49,298.55,283.9
"218",2012-10-10 13:00:00,281.53,293.49,300.34,284.21
"219",2012-10-10 14:00:00,281.27,293.93,301.87,285.31
"220",2012-10-10 15:00:00,281.74,296.26,302.07,285.62
"221",2012-10-10 16:00:00,282.13,298.72,303.03,286.28
"222",2012-10-10 17:00:00,283.77,301.7,303.99,287.25
"223",2012-10-10 18:00:00,283.97,302.85,303.73,287.31
"224",2012-10-10 19:00:00,285.22,303.98,302.89,287.31
"225",2012-10-10 20:00:00,286.55,304.93,302.87,287.18
"226",2012-10-10 21:00:00,287.99,305.39,302.79,286.47
"227",2012-10-10 22:00:00,288.045,304.645,302.295,287.535
"228",2012-10-10 23:00:00,288.1,303.9,301.8,288.6
"229",2012-10-11 00:00:00,288.1,303.9,301.8,288.6
"230",2012-10-11 01:00:00,288.1,303.9,301.8,288.6
"231",2012-10-11 02:00:00,288.1,303.9,301.8,288.6
"232",2012-10-11 03:00:00,288.1,303.9,301.8,288.6
"233",2012-10-11 04:00:00,288.1,303.9,301.8,288.6
"234",2012-10-11 05:00:00,284.94,299.92,300.71,288.28
"235",2012-10-11 06:00:00,281.78,295.94,299.62,287.96
"236",2012-10-11 07:00:00,281.365,295.805,299.08,285.7
"237",2012-10-11 08:00:00,280.95,295.67,298.54,285.56
"238",2012-10-11 09:00:00,280.93,295.25,298.61,285.44
"239",2012-10-11 10:00:00,280.52,294.32,298.61,285.24
"240",2012-10-11 11:00:00,280.23,294.29,298.23,285.17
"241",2012-10-11 12:00:00,280.09,293.11,298.43,285.54
"242",2012-10-11 13:00:00,279.96,293.1,299.46,285.68
"243",2012-10-11 14:00:00,280.3,293.92,301.54,286.81
"244",2012-10-11 15:00:00,280.55,296.64,302.08,286.85
"245",2012-10-11 16:00:00,282.1625,298.63,301.76,287.9625
"246",2012-10-11 17:00:00,283.775,300.62,301.44,289.075
"247",2012-10-11 18:00:00,285.3875,302.61,301.12,290.1875
"248",2012-10-11 19:00:00,287,304.6,300.8,291.3
"249",2012-10-11 20:00:00,287,304.6,300.8,291.3
"250",2012-10-11 21:00:00,284.66,305.35,301.62,291.27
"251",2012-10-11 22:00:00,284.99,305.4,300.98,289.97
"252",2012-10-11 23:00:00,284.8,305.33,300.47,288.68
"253",2012-10-12 00:00:00,284.28,305.12,299.95,288.23
"254",2012-10-12 01:00:00,283.87,303.43,300.27,288.43
"255",2012-10-12 02:00:00,283.87,301.48,300.13,288.36
"256",2012-10-12 03:00:00,283.68,300.23,299.99,286.68
"257",2012-10-12 04:00:00,283.48,299.36,299.62,285.24
"258",2012-10-12 05:00:00,283.52,298.17,299.31,283.97
"259",2012-10-12 06:00:00,283.56,297.41,298.54,283.51
"260",2012-10-12 07:00:00,283.42,296.45,298.28,283.04
"261",2012-10-12 08:00:00,283.32,295.65,297.25,282.27
"262",2012-10-12 09:00:00,283.24,295.3,296.98,281.89
"263",2012-10-12 10:00:00,283.09,294.71,296.89,281.38
"264",2012-10-12 11:00:00,282.9,294.47,296.43,280.92
"265",2012-10-12 12:00:00,282.9,295.32,296.69,282.03
"266",2012-10-12 13:00:00,282.37,294.87,298.96,283.13
"267",2012-10-12 14:00:00,282.31,295.09,300.42,283.83
"268",2012-10-12 15:00:00,282.64,295.22,301.08,284.86
"269",2012-10-12 16:00:00,282.65,297.44,301.78,285.52
"270",2012-10-12 17:00:00,282.62,299.45,301.98,287.24
"271",2012-10-12 18:00:00,282.93,301.62,302.05,287.8
"272",2012-10-12 19:00:00,283.64,302.47,302.05,287.91
"273",2012-10-12 20:00:00,284.35,303.01,302.12,288.76
"274",2012-10-12 21:00:00,284.91,303.5,301.48,288.66
"275",2012-10-12 22:00:00,285.13,303.19,300.96,286.96
"276",2012-10-12 23:00:00,285.17,302.72,300.21,285.02
